name,address,lat,lon,area
용담공원,인천광역시 연수구 청학동 467,37.41966,126.67382,30112.3㎡
청학공원,인천광역시 연수구 청학동 501,37.41603,126.67466,10681.2㎡
솔밭공원,인천광역시 연수구 연수동 582-1,37.41678,126.68917,28549.3㎡
솔안공원,인천광역시 연수구 연수동 634-2,37.41231,126.68285,13580.7㎡
양지공원,인천광역시 연수구 연수동 594-1,37.41538,126.67842,10253.6㎡
대학공원,인천광역시 연수구 연수동 580,37.42183,126.68498,103616.6㎡
문화공원,인천광역시 연수구 연수동 578,37.41812,126.68235,41908.8㎡
푸른송도배수지공원,인천광역시 연수구 동춘동 559-22,37.40049,126.66361,29054㎡
동춘공원,인천광역시 연수구 동춘동 938-2,37.40878,126.67018,10000.1㎡
동막공원,인천광역시 연수구 동춘동 932-2,37.4036,126.67374,10000.1㎡
부수지공원,인천광역시 연수구 동춘동 925-4,37.4081,126.67786,19001.3㎡
선학별빛공원,인천광역시 연수구 선학동 210-4,37.42901,126.69857,18866㎡
동춘2구역 동춘1공원,인천광역시 연수구 동춘동 산55-45,37.40693,126.6646,10687㎡
동춘2구역 동춘2공원,인천광역시 연수구 동춘동 산58-2,37.40537,126.66638,10509㎡
능허대공원,인천광역시 연수구 옥련동 194-54,37.423,126.64253,12363㎡
옥련공원,인천광역시 연수구 옥련동 644-5,37.4251,126.65383,1425.1㎡
청룡공원,인천광역시 연수구 옥련동 산63-2,37.42412,126.65788,5000㎡
한진공원,인천광역시 연수구 옥련동 417-5,37.42189,126.65179,993.2㎡
새싹공원,인천광역시 연수구 옥련동 238-1,37.42617,126.6492,2362㎡
느티나무공원,인천광역시 연수구 선학동 403-14,37.4266,126.69701,1500.2㎡
두리공원,인천광역시 연수구 선학동 365-2,37.42402,126.69547,1591.1㎡
원도장공원,인천광역시 연수구 선학동 409-5,37.42416,126.69676,1500㎡
선학공원,인천광역시 연수구 선학동 359,37.42349,126.69952,9132㎡
승기공원,인천광역시 연수구 선학동 348,37.41975,126.69846,7545.8㎡
은행나무공원,인천광역시 연수구 선학동 345,37.42083,126.69759,4452.7㎡
선유공원,인천광역시 연수구 선학동 391,37.43002,126.69663,1505.5㎡
학공원,인천광역시 연수구 선학동 346,37.42009,126.69682,2322.1㎡
마리공원,인천광역시 연수구 연수동 514,37.42622,126.68193,5354.8㎡
함박공원,인천광역시 연수구 연수동 535-3,37.42225,126.68106,5028㎡
효정공원,인천광역시 연수구 연수동 537-1,37.42318,126.67194,5994㎡
문남공원,인천광역시 연수구 연수동 541-2,37.42206,126.677,21810.9㎡
일단지공원,인천광역시 연수구 연수동 544-9,37.42014,126.67834,1659.5㎡
늘봄공원,인천광역시 연수구 연수동 603,37.4132,126.67854,2456.4㎡
샘말공원,인천광역시 연수구 연수동 622,37.41449,126.6808,2625.1㎡
연일공원,인천광역시 연수구 연수동 533-1,37.41944,126.69162,5037.7㎡
백제우물공원,인천광역시 연수구 청학동 554-1,37.42642,126.67015,1500㎡
성호공원,인천광역시 연수구 청학동 449-1,37.4234,126.66795,2990.3㎡
솔샘공원,인천광역시 연수구 청학동 570-11,37.42358,126.66532,1467.1㎡
승정공원,인천광역시 연수구 청학동 564-1,37.42584,126.66413,1500㎡
시대공원,인천광역시 연수구 청학동 451-1,37.42279,126.67097,5928.6㎡
안골공원,인천광역시 연수구 청학동 530-9,37.42965,126.66425,1446.7㎡
이야기공원,인천광역시 연수구 청학동 551-5,37.42655,126.66888,1500.2㎡
중앙공원,인천광역시 연수구 청학동 546-13,37.42875,126.6682,1500.1㎡
청담공원,인천광역시 연수구 청학동 471,37.42601,126.67118,3027.6㎡
하나공원,인천광역시 연수구 청학동 465-1,37.41917,126.67017,6199.9㎡
향나무공원,인천광역시 연수구 청학동 559-2,37.42567,126.66171,1714.9㎡
봉재공원,인천광역시 연수구 동춘동 940-1,37.40683,126.66786,4915.4㎡
청은공원,인천광역시 연수구 동춘동 917-1,37.4134,126.67264,4337.2㎡
풍림공원,인천광역시 연수구 동춘동 929-1,37.39948,126.67182,5137.9㎡
동남공원,인천광역시 연수구 동춘동 943-1,37.40245,126.66948,3000.1㎡
청량공원,인천광역시 연수구 동춘동 923-4,37.41136,126.67355,8583㎡
동춘2구역 동춘3공원,인천광역시 연수구 동춘동 303,37.40828,126.66579,1500㎡
동춘2구역 동춘4공원,인천광역시 연수구 동춘동 514-2,37.40275,126.6665,1673㎡
동곡어린이공원,인천광역시 연수구 동춘동 56,37.415804,126.672576,6217㎡
대암공원,인천광역시 연수구 옥련동 582-2,37.41641,126.65412,3306㎡
반딧불이공원,인천광역시 연수구 청학동 504-6,37.42576,126.66875,1334.3㎡
동춘2구역 동춘5공원,인천광역시 연수구 동춘동 944-23,37.4025,126.66691,573㎡
물푸레공원,인천광역시 연수구 청학동 101-2,37.42484,126.66009,309.1㎡
연수체육공원,인천광역시 연수구 연수동 636,37.40784,126.68553,20000㎡
